RaceName,AgeGroup,CountyName,Sex,participation,count
Caucasian,45-64,OSCEOLA,F,A,54
Caucasian,18-29,CRAWFORD,M,A,56
Hispanic,45-64,LAPEER,M,P,72
Caucasian,45-64,MONTMORENCY,M,A,29
Hispanic,30-44,MONTCALM,M,A,21
Hispanic,18-29,ISABELLA,M,P,30
Unknown,65+,CALHOUN,M,A,49
Asian,45-64,WAYNE,U,A,11
Unknown,30-44,MUSKEGON,M,A,45
Hispanic,30-44,OSCODA,M,P,9
Hispanic,30-44,DELTA,F,P,1
Caucasian,65+,MACKINAC,M,E,1
Unknown,30-44,IOSCO,F,P,9
Hispanic,45-64,ALLEGAN,F,M,1
Black,30-44,MIDLAND,M,A,5
Caucasian,65+,HOUGHTON,F,M,1
Black,30-44,INGHAM,F,Y,9
Caucasian,65+,SHIAWASSEE,F,M,1
Asian,18-29,MIDLAND,M,P,1
Caucasian,45-64,GRAND TRAVERSE,F,P,468
Black,30-44,JACKSON,F,P,607
Black,30-44,KENT,M,A,3208
Black,45-64,KALAMAZOO,M,P,2528
Caucasian,18-29,EATON,M,P,2016
Black,18-29,INGHAM,M,P,2027
Caucasian,18-29,GENESEE,F,A,6284
Caucasian,65+,WEXFORD,F,A,257
Caucasian,30-44,HURON,M,P,703
Black,45-64,JACKSON,F,A,256
Hispanic,45-64,KALAMAZOO,M,P,576
Hispanic,18-29,CALHOUN,M,A,75
Caucasian,45-64,MECOSTA,F,P,206
Caucasian,18-29,PRESQUE ISLE,M,P,111
Caucasian,65+,ALGER,F,P,38
Unknown,30-44,ST. CLAIR,M,A,20
Hispanic,45-64,VAN BUREN,M,P,196
Hispanic,30-44,CHIPPEWA,M,P,9
Unknown,30-44,MONROE,M,A,11
Caucasian,30-44,SCHOOLCRAFT,M,A,26
Hispanic,65+,KENT,M,M,1
Caucasian,65+,MECOSTA,F,Y,1
Hispanic,30-44,VAN BUREN,F,Y,2
Black,30-44,MECOSTA,M,A,20
Unknown,45-64,ALGER,M,P,18
Caucasian,18-29,BERRIEN,M,Y,1
Black,30-44,ARENAC,F,P,9
Caucasian,65+,ST. JOSEPH,M,M,1
Caucasian,65+,IRON,M,Y,1
Hispanic,45-64,MIDLAND,F,P,12
Native American,65+,CHARLEVOIX,F,P,9
Caucasian,45-64,BAY,F,A,1029
Caucasian,18-29,BAY,F,P,3714
Caucasian,65+,HOUGHTON,F,A,198
Caucasian,30-44,ALPENA,M,P,746
Asian,45-64,BAY,M,P,35
Caucasian,65+,ALCONA,M,P,60
Black,30-44,OAKLAND,F,E,182
Caucasian,18-29,ST. JOSEPH,F,A,198
Hispanic,65+,INGHAM,F,P,762
Hispanic,65+,ISABELLA,M,A,11
Caucasian,45-64,ALCONA,F,A,56
Hispanic,65+,MUSKEGON,M,A,154
Black,65+,OAKLAND,M,E,21
Caucasian,18-29,MONTMORENCY,M,P,63
Caucasian,18-29,OAKLAND,F,E,57
Hispanic,18-29,MONTCALM,M,P,13
Hispanic,45-64,OCEANA,F,A,25
Unknown,18-29,ISABELLA,M,P,15
Caucasian,30-44,ISABELLA,M,M,12
Caucasian,65+,LIVINGSTON,M,M,4
Hispanic,18-29,MANISTEE,M,P,10
Black,30-44,GRAND TRAVERSE,F,A,5
Black,30-44,ISABELLA,F,P,21
Unknown,65+,LAKE,M,A,1
Asian,65+,WAYNE,M,M,1
Unknown,18-29,CHEBOYGAN,M,A,1
Unknown,18-29,GRATIOT,F,E,1
Asian,65+,CALHOUN,M,A,31
Black,30-44,BRANCH,M,P,36
Unknown,18-29,ST. JOSEPH,M,P,4
Caucasian,45-64,BERRIEN,M,M,4
Hispanic,65+,CASS,M,A,9
Caucasian,65+,LUCE,M,E,1
Asian,65+,IONIA,F,A,9
Black,45-64,MACOMB,F,P,18296
Caucasian,30-44,INGHAM,F,P,12333
Caucasian,30-44,ST. JOSEPH,M,P,1074
Asian,30-44,KENT,F,A,545
Caucasian,18-29,MASON,F,P,320
Caucasian,18-29,CHEBOYGAN,F,P,303
Caucasian,65+,LENAWEE,M,A,571
Caucasian,45-64,TUSCOLA,M,A,124
Caucasian,65+,GLADWIN,F,P,117
Caucasian,30-44,MASON,M,P,652
Hispanic,45-64,GENESEE,M,P,882
Caucasian,65+,OSCEOLA,F,P,81
Caucasian,65+,MONTMORENCY,M,P,51
Black,65+,WASHTENAW,M,P,654
Caucasian,65+,LAKE,F,P,50
Caucasian,45-64,BERRIEN,F,Y,5
Hispanic,65+,ST. CLAIR,F,P,37
Asian,30-44,CALHOUN,F,P,167
Native American,45-64,CHIPPEWA,F,P,12
Black,30-44,WAYNE,M,M,84
Asian,45-64,OAKLAND,F,Y,14
Black,45-64,PRESQUE ISLE,F,P,9
Hispanic,30-44,WAYNE,M,M,18
Unknown,65+,ALLEGAN,F,A,5
Black,18-29,MARQUETTE,M,A,6
Caucasian,65+,LAPEER,M,Y,3
Native American,45-64,OAKLAND,M,A,2
Unknown,45-64,ALLEGAN,F,P,20
Caucasian,65+,LUCE,F,E,5
Caucasian,65+,ALPENA,M,M,1
Caucasian,45-64,OTTAWA,F,M,7
Asian,30-44,IOSCO,F,P,17
Asian,65+,IONIA,F,P,9
Black,18-29,ST. JOSEPH,M,A,4
Caucasian,45-64,MIDLAND,F,M,2
Unknown,45-64,TUSCOLA,M,P,9
Black,18-29,PRESQUE ISLE,F,A,2
Hispanic,45-64,LEELANAU,F,A,1
Caucasian,18-29,GRAND TRAVERSE,M,A,960
Black,65+,KENT,F,P,959
Caucasian,65+,CLINTON,F,P,185
Caucasian,65+,LAPEER,M,A,552
Black,45-64,BERRIEN,F,A,2857
Caucasian,45-64,CHARLEVOIX,F,P,138
Unknown,45-64,CALHOUN,F,A,201
Caucasian,18-29,CHARLEVOIX,F,P,390
Caucasian,45-64,CHARLEVOIX,M,A,142
Caucasian,45-64,MIDLAND,M,A,235
Hispanic,65+,KALAMAZOO,F,P,176
Caucasian,45-64,INGHAM,M,E,12
Black,30-44,OAKLAND,F,M,143
Hispanic,30-44,SHIAWASSEE,M,A,11
Caucasian,30-44,INGHAM,U,A,1
Unknown,30-44,EATON,M,A,41
Black,30-44,OSCODA,F,A,1
Unknown,65+,SAGINAW,M,P,61
Unknown,18-29,VAN BUREN,M,P,20
Hispanic,45-64,OAKLAND,F,E,14
Unknown,18-29,EATON,F,P,29
Unknown,45-64,BARAGA,F,P,18
Hispanic,30-44,KALAMAZOO,F,M,1
Black,30-44,MARQUETTE,M,A,10
Asian,30-44,WASHTENAW,F,Y,28
Unknown,30-44,MANISTEE,M,P,1
Asian,18-29,SAGINAW,F,P,16
Unknown,45-64,WASHTENAW,F,E,1
Caucasian,18-29,WAYNE,U,A,1
Unknown,18-29,MONTCALM,M,P,9
Asian,45-64,GENESEE,F,Y,1
Caucasian,45-64,MACOMB,M,P,5278
Unknown,18-29,GENESEE,F,P,276
Black,30-44,ST. CLAIR,F,A,344
Caucasian,18-29,ALLEGAN,M,E,4
Caucasian,65+,TUSCOLA,M,A,162
Unknown,45-64,TUSCOLA,F,P,18
Asian,65+,OAKLAND,F,M,61
Hispanic,30-44,ISABELLA,M,P,131
Hispanic,65+,KENT,F,P,675
Caucasian,65+,OGEMAW,M,P,67
Asian,30-44,WASHTENAW,M,Y,56
Hispanic,30-44,LIVINGSTON,M,A,59
Unknown,45-64,EATON,M,A,29
Unknown,45-64,INGHAM,F,E,1
Hispanic,30-44,WEXFORD,F,P,1
Hispanic,18-29,MONTMORENCY,M,P,1
Caucasian,18-29,OTTAWA,M,M,21
Unknown,45-64,ISABELLA,F,P,60
Black,30-44,LEELANAU,F,P,2
Caucasian,65+,ALCONA,F,E,1
Black,18-29,GOGEBIC,F,P,1
Native American,18-29,MACOMB,M,A,2
Caucasian,65+,LENAWEE,M,Y,3
Caucasian,65+,LAKE,F,M,1
Native American,45-64,GRAND TRAVERSE,F,P,9
Asian,45-64,INGHAM,M,E,2
Native American,30-44,BRANCH,M,A,9
Caucasian,45-64,SHIAWASSEE,M,P,352
Caucasian,65+,TUSCOLA,F,A,322
Caucasian,45-64,INGHAM,M,P,1373
Caucasian,18-29,BARRY,M,P,791
Caucasian,45-64,WEXFORD,M,A,70
Unknown,18-29,WASHTENAW,F,A,1301
Hispanic,65+,WASHTENAW,F,A,196
Hispanic,65+,WASHTENAW,M,A,239
Black,45-64,CALHOUN,M,A,880
Caucasian,45-64,HILLSDALE,F,A,211
Unknown,65+,KENT,F,P,231
Asian,30-44,WASHTENAW,M,P,946
Hispanic,30-44,LENAWEE,F,A,132
Hispanic,30-44,LAPEER,M,P,88
Caucasian,18-29,MENOMINEE,M,A,77
Asian,18-29,OTTAWA,M,P,175
Caucasian,30-44,JACKSON,F,Y,3
Unknown,30-44,VAN BUREN,F,A,21
Caucasian,30-44,BAY,M,M,1
Black,30-44,TUSCOLA,F,P,10
Caucasian,30-44,OTTAWA,F,Y,11
Asian,65+,CALHOUN,M,P,46
Black,45-64,CHIPPEWA,F,A,13
Unknown,45-64,WAYNE,M,Y,1
Unknown,65+,WASHTENAW,F,E,1
Caucasian,30-44,CHIPPEWA,F,E,2
Hispanic,30-44,MONROE,F,M,1
Caucasian,30-44,WEXFORD,F,E,1
Caucasian,30-44,MONTCALM,M,M,1
Caucasian,30-44,OAKLAND,F,A,144311
Caucasian,30-44,LUCE,F,P,86
Caucasian,30-44,GRATIOT,M,P,850
Caucasian,30-44,IONIA,M,P,1683
Caucasian,18-29,ROSCOMMON,M,P,166
Black,30-44,WASHTENAW,M,P,4532
Black,18-29,MACOMB,M,A,3889
